epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
5,8572.69,1.35783,0.80399,1.61723,0.67562,0.49968,0.52826,0.21598,1.97987,1.32627,1.71462,0.00934,0.00934,0.00934
6,8098.07,1.3092,0.75119,1.57219,0.72435,0.54164,0.58157,0.2414,1.90998,1.22151,1.65169,0.009175,0.009175,0.009175
7,16136.8,1.3075,0.74199,1.56919,0.74256,0.57978,0.62145,0.27269,1.79402,1.19342,1.59905,0.00901,0.00901,0.00901
8,24115.3,1.28851,0.71675,1.54892,0.80003,0.56834,0.64405,0.28597,1.77925,1.1335,1.58577,0.008845,0.008845,0.008845
9,32100.7,1.26581,0.69383,1.53175,0.74365,0.61595,0.65351,0.29142,1.78654,1.09102,1.56851,0.00868,0.00868,0.00868
10,40099.3,1.25778,0.68423,1.52683,0.77062,0.63764,0.68579,0.32141,1.6921,1.04217,1.52922,0.008515,0.008515,0.008515
11,48110.5,1.25492,0.6717,1.52119,0.78834,0.64145,0.69522,0.32042,1.71735,1.03914,1.51599,0.00835,0.00835,0.00835
12,56110,1.24827,0.6604,1.51762,0.79762,0.64081,0.6986,0.32654,1.684,1.01702,1.51425,0.008185,0.008185,0.008185
13,64680.1,1.23268,0.64913,1.49968,0.77328,0.66942,0.70237,0.32587,1.68961,1.00345,1.50243,0.00802,0.00802,0.00802
14,8035.04,1.22682,0.63624,1.49182,0.80634,0.66703,0.71886,0.33837,1.65266,0.9695,1.49698,0.007855,0.007855,0.007855
15,16506.3,1.22092,0.63472,1.48713,0.8068,0.65544,0.71648,0.34699,1.61453,0.97258,1.46517,0.00769,0.00769,0.00769
16,24555.1,1.21939,0.62368,1.4834,0.79848,0.67196,0.71626,0.3429,1.61952,0.96124,1.47944,0.007525,0.007525,0.007525
17,32515.8,1.20266,0.61371,1.47483,0.80281,0.69107,0.72864,0.35166,1.61411,0.94526,1.47121,0.00736,0.00736,0.00736
18,40486.7,1.19834,0.60586,1.4718,0.81286,0.68277,0.73244,0.35646,1.58289,0.93472,1.44555,0.007195,0.007195,0.007195
19,48475.6,1.20163,0.60622,1.47269,0.81517,0.69253,0.74268,0.36682,1.58637,0.91164,1.44446,0.00703,0.00703,0.00703
20,56475.7,1.19652,0.60157,1.47081,0.81649,0.69299,0.73828,0.36847,1.58273,0.91386,1.44309,0.006865,0.006865,0.006865
21,8303.96,1.18408,0.58528,1.45443,0.8319,0.67959,0.73099,0.36341,1.56955,0.90685,1.43058,0.0067,0.0067,0.0067
22,16440.1,1.17894,0.58793,1.45225,0.83873,0.69432,0.75158,0.37428,1.5527,0.89632,1.42031,0.006535,0.006535,0.006535
23,24530.4,1.17919,0.58177,1.44937,0.82661,0.69549,0.75397,0.37539,1.54612,0.90081,1.42286,0.00637,0.00637,0.00637
24,32555.9,1.16564,0.57518,1.44386,0.82471,0.70888,0.75994,0.37792,1.55422,0.87674,1.42913,0.006205,0.006205,0.006205
25,40608.5,1.16188,0.56825,1.44143,0.83061,0.70141,0.75774,0.38245,1.54799,0.87902,1.42949,0.00604,0.00604,0.00604
26,48652.5,1.1667,0.57235,1.44506,0.84865,0.69612,0.76583,0.38477,1.54064,0.87677,1.41823,0.005875,0.005875,0.005875
27,56738.8,1.16426,0.56843,1.44484,0.83521,0.70886,0.76045,0.38602,1.53138,0.87073,1.41284,0.00571,0.00571,0.00571
28,65084.8,1.16565,0.56558,1.44058,0.83732,0.70349,0.75921,0.38532,1.53575,0.86978,1.41197,0.005545,0.005545,0.005545
29,8047.41,1.14917,0.54998,1.42749,0.85095,0.69549,0.76031,0.38763,1.52456,0.85803,1.40529,0.00538,0.00538,0.00538
30,15922.6,1.14621,0.55126,1.42496,0.85427,0.6969,0.76726,0.39005,1.52358,0.85124,1.4068,0.005215,0.005215,0.005215
31,23815.2,1.14525,0.54861,1.42273,0.84048,0.70693,0.77365,0.39188,1.51588,0.85502,1.40319,0.00505,0.00505,0.00505
32,31752.1,1.13226,0.54098,1.41713,0.84168,0.70757,0.77471,0.39365,1.51622,0.84687,1.40256,0.004885,0.004885,0.004885
33,39622.7,1.12917,0.53669,1.41605,0.84651,0.70823,0.77398,0.39276,1.5167,0.84218,1.4037,0.00472,0.00472,0.00472
34,47459.9,1.13505,0.5393,1.41903,0.84091,0.70884,0.77036,0.39396,1.51539,0.84311,1.40193,0.004555,0.004555,0.004555
35,55314.6,1.13448,0.53822,1.42077,0.83256,0.71837,0.77653,0.39502,1.51627,0.83801,1.40241,0.00439,0.00439,0.00439
36,63124.7,1.13793,0.53878,1.41885,0.84465,0.71456,0.77554,0.39593,1.51528,0.83667,1.40071,0.004225,0.004225,0.004225
37,72182.8,1.14426,0.53678,1.42235,0.84389,0.71139,0.77696,0.39769,1.51296,0.83435,1.39982,0.00406,0.00406,0.00406
38,7957.58,1.10872,0.5155,1.39647,0.85186,0.7082,0.77632,0.39923,1.51007,0.83287,1.39677,0.003895,0.003895,0.003895
39,15661.9,1.10757,0.51901,1.39551,0.84982,0.70693,0.77609,0.39919,1.51054,0.83112,1.39734,0.00373,0.00373,0.00373
40,23359.9,1.11127,0.51759,1.39619,0.85091,0.70751,0.77669,0.39941,1.51,0.83013,1.39761,0.003565,0.003565,0.003565
41,31018.2,1.10084,0.51342,1.39324,0.85008,0.71014,0.77734,0.40057,1.50895,0.82994,1.39699,0.0034,0.0034,0.0034
42,38721.3,1.09609,0.50759,1.39173,0.85108,0.70947,0.77705,0.40074,1.50823,0.82814,1.39665,0.003235,0.003235,0.003235
43,46730.3,1.10674,0.51065,1.39581,0.85272,0.70884,0.7763,0.40092,1.5073,0.82771,1.39633,0.00307,0.00307,0.00307
44,54328.3,1.10733,0.5097,1.39811,0.85524,0.70987,0.77841,0.40203,1.50675,0.82605,1.39589,0.002905,0.002905,0.002905
45,62047,1.11385,0.51291,1.39895,0.85796,0.70757,0.77823,0.40208,1.50633,0.82473,1.39579,0.00274,0.00274,0.00274
46,69716.6,1.11876,0.51362,1.40116,0.84777,0.71265,0.77849,0.40277,1.50503,0.8237,1.39531,0.002575,0.002575,0.002575
47,77434.3,1.11701,0.5116,1.39959,0.85106,0.71197,0.77952,0.40286,1.50325,0.82263,1.39487,0.00241,0.00241,0.00241
48,85226.2,1.11224,0.50665,1.39924,0.8444,0.71329,0.77935,0.40353,1.50179,0.8215,1.39371,0.002245,0.002245,0.002245
49,92934.8,1.11279,0.50777,1.39305,0.84085,0.71647,0.77979,0.40419,1.50103,0.81989,1.3929,0.00208,0.00208,0.00208
50,100635,1.10635,0.5014,1.39416,0.84058,0.71734,0.78019,0.40437,1.49899,0.81952,1.39143,0.001915,0.001915,0.001915
51,108260,1.07831,0.44219,1.46084,0.8425,0.72094,0.78076,0.40437,1.49744,0.81798,1.39073,0.00175,0.00175,0.00175
52,115914,1.06816,0.43816,1.45492,0.83982,0.72327,0.78196,0.4048,1.49565,0.81599,1.38946,0.001585,0.001585,0.001585
53,123562,1.06402,0.43295,1.44955,0.84094,0.72346,0.78331,0.40516,1.49361,0.81433,1.3882,0.00142,0.00142,0.00142
54,131210,1.05583,0.42585,1.44446,0.8367,0.72791,0.78485,0.40576,1.49188,0.81227,1.3872,0.001255,0.001255,0.001255
55,138850,1.05521,0.42283,1.44495,0.83728,0.72982,0.78505,0.40542,1.49034,0.80998,1.38646,0.00109,0.00109,0.00109
56,147804,1.04701,0.41894,1.4402,0.83869,0.72664,0.78567,0.40626,1.48913,0.80801,1.38568,0.000925,0.000925,0.000925
57,8301.85,1.06722,0.42739,1.45554,0.84045,0.726,0.78573,0.40596,1.48894,0.80779,1.38525,0.00076,0.00076,0.00076
58,16062.2,1.06185,0.42439,1.45082,0.83892,0.72511,0.78422,0.40592,1.48909,0.80722,1.38514,0.000595,0.000595,0.000595
59,23821.5,1.05458,0.42173,1.44543,0.83827,0.72282,0.78455,0.40574,1.48909,0.80639,1.38512,0.00043,0.00043,0.00043
60,32492.4,1.04844,0.4153,1.43873,0.8402,0.72155,0.78446,0.40629,1.48897,0.80597,1.38523,0.000265,0.000265,0.000265
